Ticker,Volatility,Mean_Return,Target_MDD,Target_TTR,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Crisis_Type_Dot-Com Bubble,Crisis_Type_Global Financial Crisis
APA,2.3567891752101024,0.13181010237279278,-0.47053809415711073,513,False,False,False,True,False,False,False,False,False,False,True,False
APA,2.9657641907407446,0.056790606100378595,-0.6481051664775784,9999,False,False,False,True,False,False,False,False,False,False,False,True
APD,1.938187904250807,0.04727399340997871,-0.30967539042607517,106,False,False,False,False,False,False,False,False,False,False,False,False
APD,2.0192174809811796,0.07656702232743832,-0.3373289391589493,76,False,False,False,False,False,False,False,False,False,False,True,False
APD,2.2631550840861423,0.03330358183401424,-0.6029783701486041,959,False,False,False,False,False,False,False,False,False,False,False,True
APH,1.817374743144573,0.08106937812915294,-0.3755779628347632,149,False,False,False,False,False,False,False,False,True,False,False,False
APH,3.1429448812271112,0.11396323847641152,-0.6049998523986541,755,False,False,False,False,False,False,False,False,True,False,True,False
APH,2.656256788276732,0.0569467851047735,-0.6341403431608952,714,False,False,False,False,False,False,False,False,True,False,False,True
APO,2.8462252858151116,0.12116616300059575,-0.5347943934275157,72,False,False,False,False,True,False,False,False,False,False,False,False
APTV,3.158115065652551,0.046753745241861946,-0.6386794486817263,197,False,True,False,False,False,False,False,False,False,False,False,False
ARE,2.0568145654968237,0.010036451161861151,-0.5619699478014089,9999,False,False,False,False,False,False,False,True,False,False,False,False
ARE,1.2235509614549758,0.09653283761696815,-0.20955319810381903,349,False,False,False,False,False,False,False,True,False,False,True,False
ARE,3.389014327418607,0.04770498033829467,-0.7187440653148995,9999,False,False,False,False,False,False,False,True,False,False,False,True
ARES,2.5069335346717487,0.1662959129340929,-0.4407320382794251,114,False,False,False,False,True,False,False,False,False,False,False,False
ATO,1.73203252774767,0.02910900243583382,-0.32910259891047416,711,False,False,False,False,False,False,False,False,False,True,False,False
ATO,1.7211755000643998,0.06244054708849831,-0.2565569207533053,52,False,False,False,False,False,False,False,False,False,True,True,False
ATO,1.5860133842242699,0.046352152606204684,-0.26435267267927215,145,False,False,False,False,False,False,False,False,False,True,False,True
AVB,2.034163929965105,0.023767909431557464,-0.4691105067645476,471,False,False,False,False,False,False,False,True,False,False,False,False
AVB,1.0474448850624345,0.09330689221399764,-0.2937185197461807,210,False,False,False,False,False,False,False,True,False,False,True,False
AVB,3.406042782551323,0.08870530894669082,-0.6494016352507358,427,False,False,False,False,False,False,False,True,False,False,False,True
